items,domestic,international
http://www.wikidata.org/entity/Q464294,10499147,0
http://www.wikidata.org/entity/Q464328,4030000,0
http://www.wikidata.org/entity/Q464296,1000000,0
http://www.wikidata.org/entity/Q464315,359915,0
http://www.wikidata.org/entity/Q466008,13247906,0
http://www.wikidata.org/entity/Q16526429,54494,1700000
http://www.wikidata.org/entity/Q466329,0,18100000
http://www.wikidata.org/entity/Q466383,2700000,0
http://www.wikidata.org/entity/Q4744682,292574,0
http://www.wikidata.org/entity/Q4749771,77000,0
http://www.wikidata.org/entity/Q1405126,15007000,19000000
http://www.wikidata.org/entity/Q303040,57011710,177978063
http://www.wikidata.org/entity/Q24905166,230275,0
http://www.wikidata.org/entity/Q66305565,373,0
http://www.wikidata.org/entity/Q16970789,350126372,197300000
http://www.wikidata.org/entity/Q466961,6881811,1180000
http://www.wikidata.org/entity/Q16966458,15000,0
http://www.wikidata.org/entity/Q16354845,14243460,15100000
http://www.wikidata.org/entity/Q105226296,26300000,5000000
http://www.wikidata.org/entity/Q4745341,60136,0
http://www.wikidata.org/entity/Q466423,104565114,126884089
http://www.wikidata.org/entity/Q64682327,21878,0
http://www.wikidata.org/entity/Q2842832,104000,0
http://www.wikidata.org/entity/Q16250573,9569,0
http://www.wikidata.org/entity/Q1505754,159711,0
http://www.wikidata.org/entity/Q4658231,16073464,11800000
http://www.wikidata.org/entity/Q1306629,9710000,0
http://www.wikidata.org/entity/Q2245295,464249,0
http://www.wikidata.org/entity/Q917355,9376544,12600000
http://www.wikidata.org/entity/Q4746229,130000,0
http://www.wikidata.org/entity/Q48674351,0,1600000
http://www.wikidata.org/entity/Q4293557,1030000,0
http://www.wikidata.org/entity/Q13582568,43953000,43900000
http://www.wikidata.org/entity/Q19310362,36000,0
http://www.wikidata.org/entity/Q472361,44722907,35850000
http://www.wikidata.org/entity/Q472528,6260000,0
http://www.wikidata.org/entity/Q2557457,12300000,0
http://www.wikidata.org/entity/Q60836025,165000,1010000
http://www.wikidata.org/entity/Q4747537,11788,0
http://www.wikidata.org/entity/Q17080575,32382,0
http://www.wikidata.org/entity/Q18200409,3400000,42300000
http://www.wikidata.org/entity/Q1305148,2155263,0
http://www.wikidata.org/entity/Q21869637,4000,0
http://www.wikidata.org/entity/Q474098,5500000,15200000
http://www.wikidata.org/entity/Q15915435,5702000,16000000
http://www.wikidata.org/entity/Q2819825,17104662,21800000
http://www.wikidata.org/entity/Q4747994,6800000,19600000
http://www.wikidata.org/entity/Q64860145,14652557,10800000
http://www.wikidata.org/entity/Q65041276,6924,0
http://www.wikidata.org/entity/Q57902280,20000,0
http://www.wikidata.org/entity/Q482127,64491,0
http://www.wikidata.org/entity/Q58411554,71136,0
http://www.wikidata.org/entity/Q464042,65400000,70700000
http://www.wikidata.org/entity/Q1141746,106885658,93900000
http://www.wikidata.org/entity/Q129601,7133713,0
http://www.wikidata.org/entity/Q20312630,195133,0
http://www.wikidata.org/entity/Q1193443,15898202,16800000
http://www.wikidata.org/entity/Q482377,2927260,0
http://www.wikidata.org/entity/Q467290,30700000,0
http://www.wikidata.org/entity/Q467283,2642000,26000000
http://www.wikidata.org/entity/Q2690780,2000,0
http://www.wikidata.org/entity/Q1304431,1100000,2000000
http://www.wikidata.org/entity/Q488316,0,19100000
http://www.wikidata.org/entity/Q60738309,104000,1040000
http://www.wikidata.org/entity/Q351989,307134,0
http://www.wikidata.org/entity/Q501407,16447894,0
http://www.wikidata.org/entity/Q4753356,15297328,10700000
http://www.wikidata.org/entity/Q93432,132594,10100000
http://www.wikidata.org/entity/Q56236043,100000,0
http://www.wikidata.org/entity/Q482436,12609477,16200000
http://www.wikidata.org/entity/Q16203055,15000,0
http://www.wikidata.org/entity/Q4658526,8000000,0
http://www.wikidata.org/entity/Q531362,100000,9440000
http://www.wikidata.org/entity/Q532064,11700000,0
http://www.wikidata.org/entity/Q1211143,13100000,46000000
http://www.wikidata.org/entity/Q47484136,69244449,78300000
http://www.wikidata.org/entity/Q493807,17300000,8000000
http://www.wikidata.org/entity/Q65032687,68000,0
http://www.wikidata.org/entity/Q192934,133375846,352535234
http://www.wikidata.org/entity/Q636222,368269,0
http://www.wikidata.org/entity/Q4763048,1847,0
http://www.wikidata.org/entity/Q4763098,50200000,0
http://www.wikidata.org/entity/Q62892931,670000,1000000
http://www.wikidata.org/entity/Q20949818,2637,0
http://www.wikidata.org/entity/Q2279015,1440000,13200000
http://www.wikidata.org/entity/Q17985526,400000,0
http://www.wikidata.org/entity/Q12124995,1813520,7400000
http://www.wikidata.org/entity/Q300502,30000000,9000000
http://www.wikidata.org/entity/Q1615593,5831346,0
http://www.wikidata.org/entity/Q15977407,10300,0
http://www.wikidata.org/entity/Q114435,6020187,0
http://www.wikidata.org/entity/Q300508,25500000,27000000
http://www.wikidata.org/entity/Q373362,44800000,0
http://www.wikidata.org/entity/Q1364051,49200000,0
http://www.wikidata.org/entity/Q18703064,1341,1223665
http://www.wikidata.org/entity/Q1144983,1040000,6000000
http://www.wikidata.org/entity/Q17457190,0,3140000
http://www.wikidata.org/entity/Q204670,24000000,25000000
http://www.wikidata.org/entity/Q2365668,20200000,0
http://www.wikidata.org/entity/Q43184957,7600000,23600000
http://www.wikidata.org/entity/Q36491853,54599,67304
http://www.wikidata.org/entity/Q15733440,84273413,172600000
http://www.wikidata.org/entity/Q21511509,102092201,204400000
http://www.wikidata.org/entity/Q55973412,74252591,157100000
http://www.wikidata.org/entity/Q508219,200000,800000
http://www.wikidata.org/entity/Q20715379,17812724,17000000
http://www.wikidata.org/entity/Q29168508,330979,3700000
http://www.wikidata.org/entity/Q15039835,57300000,90000000
http://www.wikidata.org/entity/Q233464,38000000,20000000
http://www.wikidata.org/entity/Q25136228,32000000,10000000
http://www.wikidata.org/entity/Q1132575,129795554,0
http://www.wikidata.org/entity/Q27957904,0,1720000
http://www.wikidata.org/entity/Q645263,80000000,38000000
http://www.wikidata.org/entity/Q2012272,592535,0
http://www.wikidata.org/entity/Q567996,1129644,589486
http://www.wikidata.org/entity/Q2073855,5836,0
http://www.wikidata.org/entity/Q16303782,0,1100000
http://www.wikidata.org/entity/Q18450275,1599446,0
http://www.wikidata.org/entity/Q568133,1540100,10700000
